Date,Rate
1/1/1973,8.02
1/8/1973,8.01
1/15/1973,8
1/22/1973,8.004285714
1/29/1973,8.001428571
2/5/1973,7.995714286
2/12/1973,8.007142857
2/19/1973,7.702857143
2/26/1973,7.575714286
3/5/1973,7.541428571
3/12/1973,7.422857143
3/19/1973,7.715714286
3/26/1973,7.58
4/2/1973,7.558571429
4/9/1973,7.55
4/16/1973,7.521428571
4/23/1973,7.55
4/30/1973,7.562857143
5/7/1973,7.544285714
5/14/1973,7.515714286
5/21/1973,7.507142857
5/28/1973,7.448571429
6/4/1973,7.301428571
6/11/1973,7.277142857
6/18/1973,7.295714286
6/25/1973,7.274285714
7/2/1973,7.287142857
7/9/1973,7.287142857
7/16/1973,7.292857143
7/23/1973,7.35
7/30/1973,7.477142857
8/6/1973,7.494285714
8/13/1973,7.508571429
8/20/1973,7.628571429
8/27/1973,7.605714286
9/3/1973,7.575714286
9/10/1973,7.578571429
9/17/1973,7.745714286
9/24/1973,7.75
10/1/1973,7.745714286
10/8/1973,7.78
10/15/1973,7.758571429
10/22/1973,7.694285714
10/29/1973,7.69
11/5/1973,7.685714286
11/12/1973,7.75
11/19/1973,7.787142857
11/26/1973,7.927142857
12/3/1973,8.047142857
12/10/1973,8.051428571
12/17/1973,8.13
12/24/1973,8.131428571
12/31/1973,8.148571429
1/7/1974,8.195714286
1/14/1974,8.394285714
1/21/1974,8.485714286
1/28/1974,8.604285714
2/4/1974,8.367142857
2/11/1974,8.31
2/18/1974,8.278571429
2/25/1974,8.208571429
3/4/1974,8.194285714
3/11/1974,8.125714286
3/18/1974,8.06
3/25/1974,7.995714286
4/1/1974,7.878571429
4/8/1974,7.827142857
4/15/1974,7.905714286
4/22/1974,7.917142857
4/29/1974,7.835714286
5/6/1974,7.775714286
5/13/1974,7.75
5/20/1974,7.771428571
5/27/1974,7.814285714
6/3/1974,7.844285714
6/10/1974,7.835714286
6/17/1974,7.844285714
6/24/1974,7.87
7/1/1974,7.844285714
7/8/1974,7.835714286
7/15/1974,7.835714286
7/22/1974,7.835714286
7/29/1974,7.861428571
8/5/1974,7.835714286
8/12/1974,7.91
8/19/1974,8.008571429
8/26/1974,8.06
9/2/1974,8.117142857
9/9/1974,8.13
9/16/1974,8.124285714
9/23/1974,8.12
9/30/1974,8.111428571
10/7/1974,8.038571429
10/14/1974,8.042857143
10/21/1974,8.047142857
10/28/1974,8.06
11/4/1974,8.06
11/11/1974,8.042857143
11/18/1974,8.07
11/25/1974,8.077142857
12/2/1974,8.06
12/9/1974,8.082857143
12/16/1974,8.074285714
12/23/1974,8.13
12/30/1974,8.13
1/6/1975,8.13
1/13/1975,8.13
1/20/1975,8.13
1/27/1975,8.13
2/3/1975,8.13
2/10/1975,8.021428571
2/17/1975,7.94
2/24/1975,7.94
3/3/1975,7.831428571
3/10/1975,7.75
3/17/1975,7.75
3/24/1975,7.75
3/31/1975,7.75
4/7/1975,7.762857143
4/14/1975,7.854285714
4/21/1975,7.935714286
4/28/1975,7.922857143
5/5/1975,8
5/12/1975,8.03
5/19/1975,8.048571429
5/26/1975,8.16
6/2/1975,8.1
6/9/1975,8.1
6/16/1975,8.118571429
6/23/1975,8.247142857
6/30/1975,8.34
7/7/1975,8.465714286
7/14/1975,8.45
7/21/1975,8.515714286
7/28/1975,8.527142857
8/4/1975,8.572857143
8/11/1975,8.751428571
8/18/1975,8.827142857
8/25/1975,8.832857143
9/1/1975,8.895714286
9/8/1975,8.838571429
9/15/1975,8.792857143
9/22/1975,8.878571429
9/29/1975,8.935714286
10/6/1975,8.957142857
10/13/1975,8.924285714
10/20/1975,8.89
10/27/1975,8.867142857
11/3/1975,8.81
11/10/1975,8.81
11/17/1975,8.878571429
11/24/1975,8.952857143
12/1/1975,9.038571429
12/8/1975,8.998571429
12/15/1975,8.952857143
12/22/1975,8.97
12/29/1975,8.97
1/5/1976,8.97
1/12/1976,8.947142857
1/19/1976,8.927142857
1/26/1976,8.952857143
2/2/1976,8.935714286
2/9/1976,8.921428571
2/16/1976,8.935714286
2/23/1976,8.957142857
3/1/1976,8.947142857
3/8/1976,8.952857143
3/15/1976,8.998571429
3/22/1976,8.93
3/29/1976,8.952857143
4/5/1976,8.992857143
4/12/1976,9.01
4/19/1976,9.01
4/26/1976,8.975714286
5/3/1976,8.952857143
5/10/1976,8.992857143
5/17/1976,9.01
5/24/1976,9.032857143
5/31/1976,9.192857143
6/7/1976,9.314285714
6/14/1976,9.134285714
6/21/1976,8.987142857
6/28/1976,8.992857143
7/5/1976,8.941428571
7/12/1976,8.935714286
7/19/1976,8.93
7/26/1976,8.9
